CNumber,Customer,NEtsuite ID ,Address,email,phone,Alt name
C3735,Dearinger Printing & Trophy,7391,Dearingers<br>605 South Lewis Street<br>Stillwater OK 74074<br>United States,rickd@dearingers.com,,Dearinger Printing & Trophy
C5554,K & R Industries Inc,17033,K & R Industries Inc<br>14110-D Sullyfield Cir<br>Chantilly VA 20151<br>United States,jlee@gokandr.com,,K & R Industries Inc
C9398,Alamo Tees & Advertising/Wings sportswear inc.,7768,BELLA BACH<br>ALAMO TEES <br>12814 Cogburn Ave<br>San Antonio TX 78249<br>United States,becky.preshong@alamotees.com,,Alamo Tees & Advertising/Wings sportswear inc.
C4642,HP2 Production & Promotions,8320,"HP2 Production & Promotions<br>8126 N 23rd Ave,<br>Suite A-E<br>Phoenix AZ 85021<br>United States",maryanne@hp2promo.com,,HP2 Production & Promotions
C44995,Dolphin Graphics Printing & Promotions,15771,"DOLPHIN GRAPHICS <br>5601 Bintliff Drive,  Ste 530<br>Houston TX 77036<br>United States",mikeb@dolphingraphicsinc.com,,Dolphin Graphics Printing & Promotions
C8313,Solutions & More,11399,Solutions & More<br>1050 East Cypress Street<br>Covina CA 91724<br>United States,frank@solutionsandmore.com,,Solutions & More
C4041,Ellen's Silkscreening,10996,Ellen's Silkscreening<br>1500 Mission Street<br>South Pasadena CA 91030<br>United States,accounting@ellenssilkscreening.com,,Ellen's Silkscreening
C6677,Nyberg Fletcher & White,8581,Nyberg Fletcher & White<br>801 Cromwell Park Dr Ste 100<br>Glen Burnie MD 21061<br>United States,accounting@nybergfletcher.com,,Nyberg Fletcher & White
C45960,H & Y Image,11019,H & Y Image<br>1045 S WESTERN AVE<br>STE A<br>LOS ANGELES CA 90006-2382<br>United States,hyimage@gmail.com,,H & Y Image
C7673,Quicksilver Printing & Graphic,9692,Quicksilver Printing & Graphic<br>20746 Plummer St.<br>Chatsworth CA 91311<br>United States,accounting@quicksilverprint.com,,Quicksilver Printing & Graphic
C48168,East Coast Apparel & Promotions,9091,East Coast Apparel & Promotions<br>634 D MARINA DR<br>Charleston SC 29492<br>United States,billing@eastcoastap.com,,East Coast Apparel & Promotions
C3704,Data Imaging & Associates,9087,,apinvoice@datai.com,,Data Imaging & Associates
C8723,T & P Incentives Inc,8966,T & P Incentives Inc<br>2929 S Brentwood Blvd<br>St Louis MO 63144<br>United States,info@shoptpi.com,,T & P Incentives Inc
C94715,H&W SOLUTIONS,13757,H&W SOLUTIONS<br>1739 Sands Pl SE<br>Marietta GA 30067<br>United States,ACCOUNTSPAYABLE@HWSOLUTIONS.COM,,H&W SOLUTIONS
C141645,Nick's Enterprises Inc.,41214,Nick's Enterprises Inc.<br>2781 State Street<br>Hamden CT 06517<br>United States,ap@nanddsports.com,,Nick's Enterprises Inc.
C2008,Amsterdam Printing & Litho,17545,Amsterdam Printing & Litho<br>166 Wallins Corner Rd<br>Amsterdam NY 12010<br>United States,HOLLANDUSAAPINVOICES@TAYLORCORP.COM,,Amsterdam Printing & Litho
C2577,Bovary & Butterfly,9521,BOVARY AND BUTTERFLY<br>CHRISTINA DE LEON<br>1918 RAYMOND AVE<br>LOS ANGELES CA 90007-1146<br>United States,christina@bovaryandbutterfly.com,,Bovary & Butterfly
C95610,Boxed Sourcing & Production,16826,Boxed Sourcing & Production<br>2628 Martha Street #1A<br>Philadelphia PA 19125<br>United States,brigette@boxedsourcing.com,,Boxed Sourcing & Production
C45086,Power Image Apparel & Promotions,14012,Power Image Apparel & Promotions<br>335 S Bluff<br>St George UT 84770<br>United States,orders@powerupyourimage.com,,Power Image Apparel & Promotions
C2374,"BARON PROMOTIONS & MARKETING, INC",13505,"BARON PROMOTIONS & MARKETING, INC<br>6600 NW 16th ST<br>Plantation FL 33313<br>United States",baronpromotions@gmail.com,,"BARON PROMOTIONS & MARKETING, INC"
C14309,Bob Stephens & Associates,13997,ASHLEY BLOWERS<br>Bob Stephens & Associates<br>1000 L Street<br>Lincoln NE 68508<br>United States,acct@bobstephens.com,,Bob Stephens & Associates
C14474,C&E Specialties,16366,C&E Specialties<br>2530 Laude Drive<br>Rockford IL 61109<br>United States,accounting@cespecialties.com,,C&E Specialties
C5356,JIM Promotions & Uniforms,9066,BARRY STAMM<br>JIM Promotions & Uniforms<br>8245 Cordova Road Suite 100A<br>Cordova TN 38016<br>United States,info@jimpromotions.com,,JIM Promotions & Uniforms
C141721,iColor Printing & Mailing Inc.,41388,iColor Printing & Mailing Inc.<br>13000 S. Broadway<br>Los Angeles CA 90061<br>United States,OSCAR@icolorprinting.net,,iColor Printing & Mailing Inc.
C51945,Sellinger's Power Value,7737,c/o Sellinger's<br>First Onsite Company Store<br>600 HENRIETTA CREEK RD<br>STE 200<br>Roanoke TX 76262-2720<br>United States,kerri@sellingerspowergolf.com,,Sellinger's Power Value
C138355,GoCal of California,10800,GoCal of California<br>2641 N. Oak Grove St.<br>Visalia CA 93291<br>United States,naomi@gocalpromos.com,,GoCal of California
C48508,Gold Star Graphic,10194,Gold Star Graphic<br>8812 S. Bryant Avenue<br>Oklahoma City OK 73149<br>United States,gsginfo@goldstarok.com,,Gold Star Graphic
C139179,Halo Recognition,8897,Halo Recognition<br>30-30 47th Ave. Suite 630 LLC<br>Long Island City NY 11101<br>United States,halorecognitioninvoices@halo.com,,Halo Recognition
C95363,Ultimate Attire & Solutions Inc.,17264,Ultimate Attire & Solutions Inc.<br>5885 AIRLINE RD<br>UNIT 898<br>ARLINGTON TN 38002-5118<br>United States,email@ultimateattire.com,,Ultimate Attire & Solutions Inc.
C3385,Cravens & Associates Inc.,8497,Cravens & Associates Inc.<br>146 Volunteer Drive<br>Hendersonville TN 37075<br>United States,accounting@ralphcravens.com,,Cravens & Associates Inc.
C2237,Awards By Walsh's&Creative Mkt,8711,Awards By Walsh's&Creative Mkt<br>233 Ontario Street<br>Cohoes NY 12047<br>United States,robin@awardsbywalsh.com,,Awards By Walsh's&Creative Mkt
C11644,D & J Specialties Incorporated,7316,D & J Specialties Incorporated<br>1919 Paula Drive<br>Honolulu HI 96816<br>United States,Sean.goo@djspec.com,,D & J Specialties Incorporated
C7701,R L K & Associates Incorporated,15285,"HEATHER STEPHENS/SALES OPERATIONS & PURC<br>79 Hubble Dr., Suite 101<br>RLK & ASSOCIATES INC./HOME OF PROMO-MADN<br>O'Fallon MO 63368<br>United States",ksieve@rlk-inc.com,,R L K & Associates Incorporated
C7193,Premiere Press & Graphics,10226,Premiere Press & Graphics<br>2727 S Memorial Drive<br>Tulsa OK 74129<br>United States,accounting@premierepress.com,,Premiere Press & Graphics
C2597,Brand's Promotional Products,14005,Brand's Promotional Products<br>3122 West Old Potash Hwy<br>Grand Island NE 68802<br>United States,brands@hamilton.net,,Brand's Promotional Products
C93540,Beachley Business & Medical Forms Inc,8605,Beachley Business & Medical Forms Inc<br>6200 Days Coove Rd Ste 3<br>White Marsh MD 21162<br>United States,invoices@beachleymedical.com,,Beachley Business & Medical Forms Inc
C95690,Worth Higgins & Associates,8627,Worth Higgins & Associates<br>8770 Park Central Drive<br>Richmond VA 23227<br>United States,ap@whaprint.com,,Worth Higgins & Associates
C136774,American Apparel & Promotions*DO NOT SELL**,12514,JULIE UPDIKE<br>American Apparel & Promotions<br>1119 W. Algonquin Road<br>Lake in the Hills IL 60156<br>United States,ap@americanapparelpromo.com,,American Apparel & Promotions*DO NOT SELL**
C59194,ANRO print & Digital Solutions,16936,MASON<br>ANRO Inc. <br>931 S. Matlack Street<br>West Chester PA 19382<br>United States,Grace.Mason@anro.com,,ANRO print & Digital Solutions
C7218,Premiums Promotions & Imports,8914,Premiums Promotions & Imports<br>952 Big Tree Road<br>South Daytona FL 32119<br>United States,payables@ourppi.com,,Premiums Promotions & Imports
C138207,M & M Apparel,14133,M & M Apparel<br>1810 Welsh<br>College Station TX 77840<br>United States,brian@m-mapparel.com,,M & M Apparel
C14465,AMP&M,8383,AMP&M<br>PO Box 682528<br>Franklin TN 37068<br>United States,nicole@ampmspecialties.com,,AMP&M
C15449,Berger & Hedgepeth LLC DBA Think Promotional Group,17390,Berger & Hedgepeth LLC DBA Think Promotional Group<br>PO BOX 6508<br>RALEIGH NC 27628-6508<br>United States,Bhedgepeth@thinkpg.com,,Berger & Hedgepeth LLC DBA Think Promotional Group
C3692,Daniel's Promotional Products,8389,Daniel's Promotional Products<br>P.O. Box 368<br>Harrisonburg VA 22803<br>United States,danielsaccounting2@pro-ad.com,,Daniel's Promotional Products
C6650,Nor-Cal Embroidery & Spec,11356,Nor-Cal Embroidery & Spec<br>4208 Douglas Blvd. Suite 100<br>Granite Bay CA 95746<br>United States,olen@norcallogos.com,,Nor-Cal Embroidery & Spec
C5816,Augie Leopold Advertising,15908,Augie Leopold Advertising<br>3214 Roman Street<br>Metairie LA 70001<br>United States,barbara@augieleopold.com,,Augie Leopold Advertising
C5233,Safeguard / Innovative Print & Media Group,42403,SAFEGUARD BY INNOVATIVE<br>500 Schell Lane<br>Phoenixville PA 19460<br>United States,invoices@innoprint.com,,Safeguard / Innovative Print & Media Group
C2578,Bowers & Associates,7550,Bowers & Associates<br>2025 S Brentwood Blvd #207<br>Saint Louis MO 63144<br>United States,beth@bowerspromotes.com,,Bowers & Associates
C60527,R & R Industries Inc,11319,R & R Industries Inc<br>204 Avenida Fabricante<br>San Clemente CA 92672<br>United States,ap@rrindemail.com,,R & R Industries Inc
C15021,Carder & Associates,10942,Carder & Associates<br>2033 San Elijo Ave<br>Cardiff CA 92007<br>United States,accounting@carderemail.com,,Carder & Associates
C95549,Toucan Printing & Promotional Products,8626,Toucan Printing & Promotional Products<br>222 8TH ST NE<br>LOWER LEVEL<br>Washington DC 20002-6106<br>United States,CSR1@printdc.com,,Toucan Printing & Promotional Products
C138403,"HC Ryan & Company, LLC",12545,"HC Ryan & Company, LLC<br>2198 Commons Parkway<br>Okemos MI 48864<br>United States",CAPRICE@HCRYAN.COM,,"HC Ryan & Company, LLC"
C7682,R & D Specialty Company Incorporated **DO NOT SELL**,11385,R & D Specialty Company Incorporated<br>2903 Saturn Ste C<br>Brea CA 92821<br>United States,wbuckingham@rdspecialty.com,,R & D Specialty Company Incorporated **DO NOT SELL**
C1523,Ad-Wear & Spec Of Texas Inc,15765,Ad-Wear & Spec Of Texas Inc<br>8120 Westglen<br>Houston TX 77063<br>United States,invoices@adweartex.com,,Ad-Wear & Spec Of Texas Inc
C142243,"FlagShip Printing & Design, Inc",47047,"PRESTON HEARNE<br>FlagShip Printing & Design, Inc<br>610 N LUNAR AVE <br>STE B<br>Brea CA 92821<br>United States",vendors@flagshipprints.com,,"FlagShip Printing & Design, Inc"
C138127,Soul & Swag Inc,7350,Soul & Swag Inc<br>4509 S. 143rd St<br>Omaha NE 68137<br>United States,accounting@soulxswag.com,,Soul & Swag Inc
C8473,Staats & Company Inc,7605,Staats & Company Inc<br>608 N. IRIS ST.<br>Mount Pleasant IA 52641<br>United States,ASI@staatsawards.com,,Staats & Company Inc
C5429,Jaguar Graphics & Print,17610,Jaguar Graphics & Print<br>3 SOUTHSIDE ROAD<br>DAVERS MA 01923<br>United States,dwilliams@jaguarprint.com,,Jaguar Graphics & Print
C53544,"Professional Print & Mail,Inc",11132,"Professional Print & Mail,Inc<br>2818 E. Hamilton Avenue<br>Fresno CA 93721<br>United States",yvettel@printfresno.com,,"Professional Print & Mail,Inc"
C7406,American Future Systems DBA Progressive Gifts & Incentives,16699,American Future Systems DBA Progressive Gifts & Incentives<br>370 Technolgy Drive<br>Malvern PA 19355<br>United States,MREYNOLDS@PBP.COM,,American Future Systems DBA Progressive Gifts & Incentives
C5204,IBF Printing & Graphics,11097,IBF Printing & Graphics<br>21935 Van Buren St-Ste 3<br>Grand Terrace CA 92313<br>United States,ap@ibfprinting.net,,IBF Printing & Graphics
c95409,The U Apparel & Gifts,41409,"The U Apparel & Gifts<br>214 Main St., Ste. 436<br>El Segundo CA 90245<br>United States",info@theugift.com,,The U Apparel & Gifts
C5740,LT's   Inc,17817,LT's   Inc<br>37 Danforth St<br>Portland ME 04101<br>United States,KRISTIN@LTSMAINE.COM,,LT's   Inc
C141823,Boldline LLC,42389,Boldline LLC<br>3 Cambridge Drive<br>Jackson NJ 08527<br>United States,billing@boldslinepromos.com,,Boldline LLC
C54916,Logo'D Gear,17052,Logo'D Gear<br>3101 Yorkmont Rd<br>Charlotte NC 28208<br>United States,customerservice@logodgear.com,,Logo'D Gear
C48345,G&D World Inc,11029,GD Color Inc<br>4412 W.Pico Blvd<br>Los Angeles CA 90019<br>United States,ggcolor@hotmail.com,,G&D World Inc
C44493,Creative Awards & Trophies,7719,Creative Awards & Trophies<br>702 West Main<br>Fredericksburg TX 78624<br>United States,ACCT@CREATIVEAWARD.COM,,Creative Awards & Trophies
C2041,Andrew's Promotional Products,7543,Andrew's Promotional Products<br>3702 W Valley N 112<br>Auburn WA 98001<br>United States,accounting@andrewsinc.com,,Andrew's Promotional Products
C2404,Beck & Call,10963,Beck & Call<br>35 N LAKE AVE<br>STE 710<br>PASADENA CA 91101-4185<br>United States,jim@beckandcall.com,,Beck & Call
C1390,Accuwrite Forms & Systems Inc,8073,Accuwrite Forms & Systems Inc<br>222 W CHOCOLATE AVE<br>HERSHEY PA 17033-1529<br>United States,info@accuwriteforms.com,,Accuwrite Forms & Systems Inc
C2228,Award & Sign Connection,7383,Award & Sign Connection<br>6815 S. Dallas Court<br>Greenwood Village CO 80112<br>United States,tiffanyw@awardandsign.com,,Award & Sign Connection
C49521,Varner & Brandt LLP,11056,Varner & Brandt LLP<br>3750 University Ave.<br>STE 610<br>Riverside CA 92501<br>United States,kevin.varner@varnerbrandt.com,,Varner & Brandt LLP
C2126,Arnolds for Awards,10959,"Attn.: Shyloh Rhodes<br>Arnolds for Awards, Inc<br>3971 Durock Road Suite A<br>Shingle Springs CA 95682<br>United States",sheri.arnold@arnoldsawards.com,,Arnolds for Awards
c5111,Impressions Advg. Specs.LLC,15915,Impressions Advg. Specs.LLC<br>903 Shreveport Rd.<br>Minden LA 71055<br>United States,ar@promoteyourbusiness.net,,Impressions Advg. Specs.LLC
C57805,Imagination Print & Design,12592,Imagination Print & Design<br>68 Main Street<br>STE 1<br>Oswego IL 60543<br>United States,kelley@imaginationpad.com,,Imagination Print & Design
C97307,Acosta Sales & Marketing,13809,Acosta Sales & Marketing<br>PO Boc 281996<br>Atlanta GA 30384<br>United States,lbollenbach@promodepot.com,,Acosta Sales & Marketing
C52277,Jobe & Associates,12789,Jobe & Associates<br>5995 B Shier Rings Rd<br>Dublin OH 43016<br>United States,sstenberg@jobeideas.com,,Jobe & Associates
C136404,Green Monkey Promotions,7653,Green Monkey Promotions<br>3900 Graystone Road<br>Longview TX 75605<br>United States,invoices@aiacorporation.com,,Green Monkey Promotions
C59831,Monograms & More,15607,Monograms & More<br>1806 Welsh Avenue<br>College Station TX 77840<br>United States,Office@monograms-more.com,,Monograms & More
C96372:1,"MerchUnlimited, LLC",60960,"MerchUnlimited, LLC<br>6817 SW WINDEMERE LOOP<br>PORTLAND OR 97225-6162<br>United States",finance@merchunlimitedteam.com,,"MerchUnlimited, LLC"
C14094,Payden & Company LLC,8475,"Payden & Company LLC<br>P.O. Box 1939, 530 Main Street for shipping<br>East Greenwich RI 02818<br>United States",confirmations@paydenandcompany.com,,Payden & Company LLC
C2754,C & A Sportswear,17003,C & A Sportswear<br>6311 Erdman Avenue<br>Baltimore MD 21205<br>United States,denise@casportswear.com,,C & A Sportswear
C142641,"S&G Global Holdings, Inc.",50841,"S&G Global Holdings, Inc.<br>1702 EDINGER AVE<br>TUSTIN CA 92780-6511<br>United States",Nicole@sandgcreative.com,(949) 252-9107 fax,"S&G Global Holdings, Inc."
C15314,Roy Lown's Classic Awards,15671,Roy Lown's Classic Awards<br>3700 Dyer Street<br>El Paso TX 79930<br>United States,norma@roylown.com,,Roy Lown's Classic Awards
C142307,RD PROMOT & SOURCING,47625,David Morrison<br>RD Promo and sourcing<br>7620 NW 6th<br>Boca Raton FL 33487<br>United States,ACCOUNTING@RDPROMO.COM,,RD PROMOT & SOURCING
C52340,A-1 Embroidery & Screen Printing Inc,9026,A-1 Embroidery & Screen Printing Inc<br>P O Box 2641<br>Midland TX 79702<br>United States,accounting2@a-1sign.com,,A-1 Embroidery & Screen Printing Inc
C5579,Kamin & Associates,16470,Kamin & Associates<br>P. O. Box 888730<br>Atlanta GA 30356<br>United States,orders@kaminassociates.com,,Kamin & Associates
C94016,Desert Promotional & Embroidery LLC.,11444,Desert Promotions<br>68915 Vista Chino<br>Cathedral City CA 92234<br>United States,accounts@desertpromo.com,,Desert Promotional & Embroidery LLC.
C140545,Randy’s Awards & Promotions,12639,"Randy’s Awards & Promotions<br>606 W Main Street, Suite A<br>Pittsboro IN 46167<br>United States",graphics@randysawards.com,,Randy’s Awards & Promotions
C95725,Main Line sportswear & promotions,8242,Main Line sportswear & promotions<br>182 Wentworth Lane<br>Rosemont PA 19010<br>United States,john@mainlinesportswear.com,,Main Line sportswear & promotions
C94902,Manufacturer's Direct Sales Inc,11481,Manufacturer's Direct Sales Inc<br>304 S. San Marino Ave<br>San Gabriel CA 91776<br>United States,clientservice@mdsproline.com,,Manufacturer's Direct Sales Inc
C6048,M & M Promotions LLC,16030,M & M Promotions LLC<br>P O Box 1140<br>Southaven MS 38671<br>United States,mmpromo@mandmpromotions.com,,M & M Promotions LLC
C4830,Howell & Windham Advertising,12345,Howell & Windham Advertising<br>P. O. Box 705<br>Odessa TX 79760<br>United States,brookeharper@howell-windham.com,,Howell & Windham Advertising
C1885,Allied Printing & Graphics Company,17634,Allied Printing & Graphics Company<br>4 Madison Road<br>Fairfield NJ 07004<br>United States,roxanne@alliedpng.com,,Allied Printing & Graphics Company
C96273,Progressive Printing & Adv. Inc,13076,Progressive Printing & Adv. Inc<br>18370 Marquette St<br>Roseville MI 48066<br>United States,sales@progressivep2a.com,,Progressive Printing & Adv. Inc
